Nome da Liga,Link SofaScore,SofaScore ID,País,Fonte
Greece - Souper Kap Ellados,https://www.sofascore.com/pt/football/tournament/greece/souper-kap-ellados/???,?,Greece,football-data.org (id=2150)
Hungary - NB I,https://www.sofascore.com/pt/football/tournament/hungary/nb-i/???,?,Hungary,football-data.org (id=2128)
Iceland - Úrvalsdeild,https://www.sofascore.com/pt/football/tournament/iceland/úrvalsdeild/???,?,Iceland,football-data.org (id=2127)
India - I-League,https://www.sofascore.com/pt/football/tournament/india/i-league/???,?,India,football-data.org (id=2126)
India - Indian Super League,https://www.sofascore.com/pt/football/tournament/india/indian-super-league/???,?,India,football-data.org (id=2161)
Israel - Ligat ha'Al,https://www.sofascore.com/pt/football/tournament/israel/ligat-haal/???,?,Israel,football-data.org (id=2125)
Italy - Supercoppa,https://www.sofascore.com/pt/football/tournament/italy/supercoppa/???,?,Italy,football-data.org (id=2124)
Italy - Coppa Italia,https://www.sofascore.com/pt/football/tournament/italy/coppa-italia/???,?,Italy,football-data.org (id=2122)
Italy - Serie C,https://www.sofascore.com/pt/football/tournament/italy/serie-c/???,?,Italy,football-data.org (id=2123)
Italy - Serie C - Girone A,https://www.sofascore.com/pt/football/tournament/italy/serie-c---girone-a/???,?,Italy,football-data.org (id=2162)
Italy - Serie C - Girone B,https://www.sofascore.com/pt/football/tournament/italy/serie-c---girone-b/???,?,Italy,football-data.org (id=2163)
Italy - Serie C - Girone C,https://www.sofascore.com/pt/football/tournament/italy/serie-c---girone-c/???,?,Italy,football-data.org (id=2164)
Japan - J.League Cup,https://www.sofascore.com/pt/football/tournament/japan/j.league-cup/???,?,Japan,football-data.org (id=2118)
Japan - J. League Division 2,https://www.sofascore.com/pt/football/tournament/japan/j.-league-division-2/???,?,Japan,football-data.org (id=2117)
Japan - Super Cup,https://www.sofascore.com/pt/football/tournament/japan/super-cup/???,?,Japan,football-data.org (id=2120)
Latvia - Virslīga,https://www.sofascore.com/pt/football/tournament/latvia/virslīga/???,?,Latvia,football-data.org (id=2116)
Lithuania - A Lyga,https://www.sofascore.com/pt/football/tournament/lithuania/a-lyga/???,?,Lithuania,football-data.org (id=2115)
Malta - Premier League,https://www.sofascore.com/pt/football/tournament/malta/premier-league/???,?,Malta,football-data.org (id=2114)
Mexico - SuperCopa MX,https://www.sofascore.com/pt/football/tournament/mexico/supercopa-mx/???,?,Mexico,football-data.org (id=2112)
Mexico - Copa MX,https://www.sofascore.com/pt/football/tournament/mexico/copa-mx/???,?,Mexico,football-data.org (id=2111)
Netherlands - KNVB Beker,https://www.sofascore.com/pt/football/tournament/netherlands/knvb-beker/???,?,Netherlands,football-data.org (id=2109)
